TIGR00001	50S ribosomal protein L35
TIGR02894	RsfA family transcriptional regulator
TIGR02895	RNA polymerase sigma-I factor
TIGR02896	stage III sporulation protein AF
TIGR02897	cytochrome aa3 quinol oxidase subunit III
TIGR02898	YhcN/YlaJ family sporulation lipoprotein
TIGR02899	SafA/ExsA family spore coat assembly protein
TIGR02900	stage V sporulation protein B
TIGR02901	cytochrome aa3 quinol oxidase subunit IV
TIGR02902	ATP-dependent protease LonB
TIGR02903	ATP-dependent protease, Lon family
TIGR02904	spore coat protein YsxE
TIGR02905	spore coat protein YutH
TIGR02906	CotS family spore coat protein
TIGR02907	stage VI sporulation protein D
TIGR02908	cytochrome c oxidase subunit IVB
TIGR02910	anaerobic sulfite reductase subunit A
TIGR02911	anaerobic sulfite reductase subunit B
TIGR02912	sulfite reductase subunit C
TIGR02913	HAF repeat-containing protein
TIGR02914	EpsI family protein
TIGR02915	PEP-CTERM-box response regulator transcription factor
TIGR02916	PEP-CTERM system histidine kinase PrsK
TIGR02917	PEP-CTERM system TPR-repeat protein PrsT
TIGR02918	accessory Sec system glycosyltransferase GtfA
TIGR02919	accessory Sec system glycosylation chaperone GtfB
TIGR02920	accessory Sec system protein translocase subunit SecY2
TIGR02921	TIGR02921 family PEP-CTERM protein
TIGR02922	TIGR02922 family protein
TIGR02923	ATP synthase A1 subunit C
TIGR02924	isocitrate dehydrogenase
TIGR02925	peptidyl-prolyl cis-trans isomerase, EpsD family
TIGR02926	ATP synthase archaeal subunit H
TIGR02927	2-oxoglutarate dehydrogenase, E2 component, dihydrolipoamide succinyltransferase
TIGR02929	Fe-only nitrogenase subunit delta
TIGR02930	V-containing nitrogenase subunit delta
TIGR02931	Fe-only nitrogenase subunit beta
TIGR02932	V-containing nitrogenase subunit beta
TIGR02933	nitrogen fixation protein NifM
TIGR02934	putative nitrogen fixation protein NifT
TIGR02935	NifX-associated nitrogen fixation protein
TIGR02936	ferredoxin III, nif-specific
TIGR02937	sigma-70 family RNA polymerase sigma factor
TIGR02938	nitrogen fixation negative regulator NifL
TIGR02939	RNA polymerase sigma factor RpoE
TIGR02940	Fe-only nitrogenase accessory protein AnfO
TIGR02941	RNA polymerase sigma factor SigB
TIGR02944	SUF system Fe-S cluster assembly regulator
TIGR02945	SUF system Fe-S cluster assembly protein
TIGR02946	wax ester/triacylglycerol synthase family O-acyltransferase
TIGR02948	RNA polymerase sigma factor SigW
TIGR02949	mycothiol system anti-sigma-R factor
TIGR02951	dimethylsulfoxide reductase subunit B
TIGR02953	pentapeptide MXKDX repeat protein
TIGR02955	TMAO reductase system periplasmic protein TorT
TIGR02956	TMAO reductase system sensor histidine kinase/response regulator TorS
TIGR02957	RNA polymerase sigma-70 factor
TIGR02959	RNA polymerase sigma factor SigZ
TIGR02961	allantoicase
TIGR02962	hydroxyisourate hydrolase
TIGR02963	xanthine dehydrogenase small subunit
TIGR02964	xanthine dehydrogenase accessory protein XdhC
TIGR02965	xanthine dehydrogenase molybdopterin binding subunit
TIGR02966	phosphate regulon sensor histidine kinase PhoR
TIGR02967	guanine deaminase
TIGR02968	succinate dehydrogenase, hydrophobic membrane anchor protein
TIGR02969	aldehyde oxidase
TIGR02970	succinate dehydrogenase, cytochrome b556 subunit
TIGR02972	trimethylamine N-oxide reductase system protein TorE
TIGR02973	periplasmic nitrate reductase, NapE protein
TIGR02974	phage shock protein operon transcriptional activator
TIGR02975	envelope stress response protein PspG
TIGR02976	envelope stress response membrane protein PspB
TIGR02977	phage shock protein PspA
TIGR02978	envelope stress response membrane protein PspC
TIGR02979	phage shock protein PspD
TIGR02980	SigB/SigF/SigG family RNA polymerase sigma factor
TIGR02981	thiosulfate sulfurtransferase PspE
TIGR02983	SigE family RNA polymerase sigma factor
TIGR02985	RNA polymerase sigma-70 factor
TIGR02986	Alw26I/Eco31I/Esp3I family type II restriction endonuclease
TIGR02987	Alw26I/Eco31I/Esp3I family type II restriction adenine-specific DNA-methyltransferase
TIGR02988	S4 domain-containing protein YaaA
TIGR02990	ectoine utilization protein EutA
TIGR02991	hydroxyectoine utilization dehydratase EutB
TIGR02992	ectoine utilization protein EutC
TIGR02993	ectoine hydrolase DoeA
TIGR02994	N-alpha-acetyl diaminobutyric acid deacetylase DoeB
TIGR02995	ectoine/hydroxyectoine ABC transporter substrate-binding protein EhuB
TIGR02996	TIGR02996 domain-containing protein
TIGR02997	RNA polymerase sigma factor, RpoD/SigA family
TIGR02998	ribonuclease E activity regulator RraA
TIGR03000	TIGR03000 domain-containing protein
TIGR03002	lipopolysaccharide transport periplasmic protein LptA
TIGR03003	ectoine/hydroxyectoine ABC transporter permease subunit EhuD
TIGR03004	ectoine/hydroxyectoine ABC transporter permease subunit EhuC
TIGR03005	ectoine/hydroxyectoine ABC transporter ATP-binding protein EhuA
TIGR03008	CAAX prenyl protease-related protein
TIGR03009	TIGR03009 domain-containing protein
TIGR03010	sulfurtransferase complex subunit TusC
TIGR03011	sulfurtransferase complex subunit TusB
TIGR03012	sulfurtransferase complex subunit TusD
TIGR03013	TIGR03013 family PEP-CTERM/XrtA system glycosyltransferase
TIGR03014	putative exosortase B-associated extracellular polysaccharide biosynthesis transporter EpsL
TIGR03016	TIGR03016 family PEP-CTERM system-associated outer membrane protein
TIGR03017	chain length determinant protein EpsF
TIGR03019	FemAB family PEP-CTERM system-associated protein
TIGR03020	transcriptional regulator EpsA
TIGR03021	type IV pilus biogenesis protein PilP
TIGR03022	undecaprenyl-phosphate galactose phosphotransferase WbaP
TIGR03023	undecaprenyl-phosphate glucose phosphotransferase
TIGR03024	PEF-CTERM sorting domain-containing protein
TIGR03025	exopolysaccharide biosynthesis polyprenyl glycosylphosphotransferase
TIGR03026	nucleotide sugar dehydrogenase
TIGR03028	polysaccharide export protein EpsE
TIGR03029	chain length determinant protein tyrosine kinase EpsG
TIGR03030	UDP-forming cellulose synthase catalytic subunit
TIGR03031	type II-B CRISPR-associated RNA-guided endonuclease Cas9/Csx12
TIGR03032	TIGR03032 family protein
TIGR03035	arylformamidase
TIGR03036	tryptophan 2,3-dioxygenase
TIGR03037	3-hydroxyanthranilate 3,4-dioxygenase
TIGR03038	photosystem II reaction center protein PsbM
TIGR03039	photosystem II chlorophyll-binding protein CP47
TIGR03041	chlorophyll a/b binding light-harvesting protein
TIGR03042	photosystem II protein PsbQ
TIGR03043	photosystem II core protein PsbZ
TIGR03044	photosystem II protein Psb27
TIGR03045	cytochrome c-550
TIGR03046	photosystem II cytochrome PsbV2
TIGR03047	photosystem II reaction center protein Psb28
TIGR03048	photosystem I iron-sulfur center protein PsaC
TIGR03049	photosystem I reaction center subunit PsaK
TIGR03050	photosystem I reaction center PsaK
TIGR03051	photosystem I reaction center subunit V
TIGR03052	photosystem I reaction center subunit VIII
TIGR03053	photosystem I reaction center subunit XII
TIGR03058	chlorosome envelope protein H
TIGR03059	photosystem I protein PsaO
TIGR03060	photosystem II biogenesis protein Psp29
TIGR03063	sortase B protein-sorting domain-containing protein
TIGR03064	SrtB family sortase
TIGR03065	QVPTGV class sortase B protein-sorting domain-containing protein
TIGR03066	TIGR03066 family protein
TIGR03067	TIGR03067 domain-containing protein
TIGR03068	NPQTN class sortase B protein-sorting domain-containing protein
TIGR03069	photosystem II S4 domain protein
TIGR03070	type II toxin-antitoxin system Y4mF family antitoxin
TIGR03072	peptide chain release factor H
TIGR03073	RNA ligase RtcB family protein
TIGR03074	membrane-bound PQQ-dependent dehydrogenase, glucose/quinate/shikimate family
TIGR03075	PQQ-dependent dehydrogenase, methanol/ethanol family
TIGR03077	glycine cleavage protein H-like protein
TIGR03078	methane monooxygenase/ammonia monooxygenase subunit C
TIGR03079	methane monooxygenase/ammonia monooxygenase subunit B
TIGR03080	methane monooxygenase/ammonia monooxygenase subunit A
TIGR03081	methylmalonyl-CoA epimerase
TIGR03083	maleylpyruvate isomerase family mycothiol-dependent enzyme
TIGR03084	TIGR03084 family protein
TIGR03085	TIGR03085 family protein
TIGR03086	TIGR03086 family protein
TIGR03087	TIGR03087 family PEP-CTERM/XrtA system glycosyltransferase
TIGR03088	TIGR03088 family PEP-CTERM/XrtA system glycosyltransferase
TIGR03089	TIGR03089 family protein
TIGR03090	small acid-soluble spore protein Tlp
TIGR03091	small, acid-soluble spore protein K
TIGR03092	small acid-soluble spore protein SspI
TIGR03093	small, acid-soluble spore protein L
TIGR03094	sulfocyanin
TIGR03095	rusticyanin
TIGR03096	nitrosocyanin
TIGR03097	putative O-glycosylation ligase, exosortase A system-associated
TIGR03098	acyl-CoA ligase (AMP-forming), exosortase A system-associated
TIGR03099	pyridoxal-dependent decarboxylase, exosortase A system-associated
TIGR03100	hydrolase 1, exosortase A system-associated
TIGR03101	hydrolase 2, exosortase A system-associated
TIGR03102	halocyanin domain-containing protein
TIGR03103	N-acetylglutaminylglutamine synthetase
TIGR03104	N-acetylglutaminylglutamine amidotransferase
TIGR03105	type III glutamate--ammonia ligase
TIGR03106	osmoprotectant NAGGN system M42 family peptidase
TIGR03107	glutamyl aminopeptidase
TIGR03108	amidotransferase 1, exosortase A system-associated
TIGR03109	exosortase A
TIGR03110	exosortase family protein XrtG
TIGR03111	putative glycosyltransferase, exosortase G system-associated
TIGR03113	exosortase B
TIGR03114	type IV CRISPR-associated protein Csf1
TIGR03115	type IV CRISPR-associated protein Csf2
TIGR03116	type IV CRISPR-associated protein Csf3
TIGR03117	type IV CRISPR-associated DEAD/DEAH-box helicase Csf4
TIGR03118	TIGR03118 family protein
TIGR03119	formylmethanofuran--tetrahydromethanopterin N-formyltransferase
TIGR03120	methenyltetrahydromethanopterin cyclohydrolase
TIGR03121	formylmethanofuran dehydrogenase subunit A
TIGR03122	formylmethanofuran dehydrogenase subunit C
TIGR03124	citrate lyase holo-[acyl-carrier protein] synthase
TIGR03125	triphosphoribosyl-dephospho-CoA synthase CitG
TIGR03126	formaldehyde-activating enzyme
TIGR03127	6-phospho-3-hexuloisomerase
TIGR03128	3-hexulose-6-phosphate synthase
TIGR03129	formylmethanofuran dehydrogenase subunit B
TIGR03130	malonate decarboxylase acyl carrier protein
TIGR03131	malonate decarboxylase subunit epsilon
TIGR03132	triphosphoribosyl-dephospho-CoA synthase MdcB
TIGR03133	biotin-independent malonate decarboxylase subunit beta
TIGR03134	biotin-independent malonate decarboxylase subunit gamma
TIGR03135	malonate decarboxylase holo-[acyl-carrier-protein] synthase
TIGR03136	Na+-transporting malonate decarboxylase, carboxybiotin decarboxylase subunit
TIGR03137	peroxiredoxin
TIGR03138	NADPH-dependent 7-cyano-7-deazaguanine reductase QueF
TIGR03139	preQ(1) synthase
TIGR03140	alkyl hydroperoxide reductase subunit F
TIGR03141	heme exporter protein CcmD
TIGR03142	c-type cytochrome biogenesis protein CcmI
TIGR03144	c-type cytochrome biogenesis protein CcsB
TIGR03145	heme lyase NrfEFG subunit NrfE
TIGR03146	cytochrome c nitrite reductase pentaheme subunit
TIGR03147	heme lyase NrfEFG subunit NrfF
TIGR03148	cytochrome c nitrite reductase subunit NrfD
TIGR03149	cytochrome c nitrite reductase Fe-S protein
TIGR03150	beta-ketoacyl-[acyl-carrier-protein] synthase II
TIGR03151	enoyl-[acyl-carrier-protein] reductase FabK
TIGR03152	ammonia-forming nitrite reductase cytochrome c552 subunit
TIGR03153	cytochrome c nitrite reductase small subunit
TIGR03154	cytochrome b558/566 subunit A
TIGR03155	cytochrome b558/566 subunit B
TIGR03156	GTPase HflX
TIGR03157	type I-D CRISPR-associated protein Cas7/Csc2
TIGR03158	type I-D CRISPR-associated helicase Cas3'
TIGR03159	type I-D CRISPR-associated protein Cas5/Csc1
TIGR03160	nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase
TIGR03161	alpha-ribazole phosphatase CobZ
TIGR03162	alpha-ribazole phosphatase
TIGR03164	2-oxo-4-hydroxy-4-carboxy-5-ureidoimidazoline decarboxylase
TIGR03167	tRNA 2-selenouridine(34) synthase MnmH
TIGR03170	flagella basal body P-ring formation protein FlgA
TIGR03171	Rieske iron-sulfur protein SoxL2
TIGR03172	putative selenium-dependent hydroxylase accessory protein YqeC
TIGR03174	type I-D CRISPR-associated protein Cas10d/Csc3
TIGR03175	ureidoglycolate dehydrogenase
TIGR03176	allantoate deiminase
TIGR03177	Flp pilus assembly protein CpaB
TIGR03178	allantoinase AllB
TIGR03180	2-oxo-4-hydroxy-4-carboxy-5-ureidoimidazoline decarboxylase
TIGR03181	pyruvate dehydrogenase (acetyl-transferring) E1 component subunit alpha
TIGR03182	pyruvate dehydrogenase (acetyl-transferring) E1 component subunit alpha
TIGR03183	DNA phosphorothioation system sulfurtransferase DndC
TIGR03184	DNA sulfur modification protein DndE
TIGR03185	DNA sulfur modification protein DndD
TIGR03186	alpha-ketoglutarate dehydrogenase
TIGR03187	DGQHR domain-containing protein
TIGR03188	phosphoribosyl-ATP diphosphatase
TIGR03189	cyclohexa-1,5-dienecarbonyl-CoA hydratase
TIGR03190	benzoyl-CoA reductase, bzd-type, subunit N
TIGR03191	benzoyl-CoA reductase, bzd-type, subunit O
TIGR03192	benzoyl-CoA reductase, bzd-type, subunit Q
TIGR03193	4-hydroxybenzoyl-CoA reductase subunit gamma
TIGR03194	4-hydroxybenzoyl-CoA reductase subunit alpha
TIGR03195	4-hydroxybenzoyl-CoA reductase subunit beta
TIGR03196	xanthine dehydrogenase subunit D
TIGR03198	xanthine dehydrogenase subunit E
TIGR03199	xanthine dehydrogenase subunit C
TIGR03200	6-oxocyclohex-1-ene-1-carbonyl-CoA hydratase
TIGR03201	6-hydroxycyclohex-1-ene-1-carbonyl-CoA dehydrogenase
TIGR03202	xanthine dehydrogenase accessory protein PucB
TIGR03203	pimeloyl-CoA dehydrogenase small subunit
TIGR03204	pimeloyl-CoA dehydrogenase large subunit
TIGR03205	dicarboxylate--CoA ligase PimA
TIGR03206	2-hydroxycyclohexanecarboxyl-CoA dehydrogenase
TIGR03207	cyclohexanecarboxyl-CoA dehydrogenase
TIGR03208	cyclohexanecarboxylate-CoA ligase
TIGR03209	botulinum neurotoxin transcription-activating sigma factor BotR
TIGR03210	2-ketocyclohexanecarboxyl-CoA hydrolase
TIGR03211	catechol 2,3-dioxygenase
TIGR03212	allantoinase PuuE
TIGR03213	biphenyl-2,3-diol 1,2-dioxygenase
TIGR03214	(S)-ureidoglycine aminohydrolase
TIGR03215	acetaldehyde dehydrogenase (acetylating)
TIGR03216	2-hydroxymuconic semialdehyde dehydrogenase
TIGR03217	4-hydroxy-2-oxovalerate aldolase
TIGR03218	2-oxo-3-hexenedioate decarboxylase
TIGR03219	salicylate 1-monooxygenase
TIGR03220	2-oxopent-4-enoate hydratase
TIGR03221	muconolactone Delta-isomerase
TIGR03222	2,3-epoxybenzoyl-CoA dihydrolase
TIGR03224	benzoyl-CoA 2,3-epoxidase subunit BoxA
TIGR03225	benzoyl-CoA 2,3-epoxidase subunit BoxB
TIGR03226	2-aminoethylphosphonate ABC transporter permease subunit
TIGR03227	2-aminoethylphosphonate ABC transporter substrate-binding protein
TIGR03228	anthranilate 1,2-dioxygenase large subunit
TIGR03229	benzoate 1,2-dioxygenase large subunit
TIGR03230	lipoprotein lipase
TIGR03231	anthranilate 1,2-dioxygenase small subunit
TIGR03232	benzoate 1,2-dioxygenase small subunit
TIGR03233	DNA sulfur modification protein DndB
TIGR03234	hydroxypyruvate isomerase
TIGR03235	cysteine desulfurase DndA
TIGR03236	DNA phosphorothioation-dependent restriction protein DptG
TIGR03237	DNA phosphorothioation-dependent restriction protein DptH
TIGR03238	DNA phosphorothioation-dependent restriction protein DptF
TIGR03239	2-dehydro-3-deoxyglucarate aldolase
TIGR03240	succinylglutamate-semialdehyde dehydrogenase
TIGR03241	N-succinylarginine dihydrolase
TIGR03242	succinylglutamate desuccinylase
TIGR03244	arginine N-succinyltransferase
TIGR03245	arginine/ornithine succinyltransferase subunit alpha
TIGR03246	acetylornithine/succinylornithine family transaminase
TIGR03247	glucarate dehydratase
TIGR03248	galactarate dehydratase
TIGR03249	5-dehydro-4-deoxyglucarate dehydratase
TIGR03250	phosphonoacetaldehyde dehydrogenase
TIGR03251	L-lysine 6-transaminase
TIGR03253	formyl-CoA transferase
TIGR03254	oxalyl-CoA decarboxylase
TIGR03255	2-aminoethylphosphonate ABC transport system, membrane component PhnV
TIGR03256	coenzyme-B sulfoethylthiotransferase subunit alpha
TIGR03257	coenzyme-B sulfoethylthiotransferase subunit beta
TIGR03258	2-aminoethylphosphonate ABC transport system ATP-binding subunit PhnT
TIGR03259	coenzyme-B sulfoethylthiotransferase subunit gamma
TIGR03260	methyl-coenzyme M reductase operon protein D
TIGR03261	putative 2-aminoethylphosphonate ABC transporter substrate-binding protein
TIGR03262	putative 2-aminoethylphosphonate ABC transporter permease subunit
TIGR03263	guanylate kinase
TIGR03264	methyl-coenzyme M reductase I operon protein C
TIGR03265	putative 2-aminoethylphosphonate ABC transporter ATP-binding protein
TIGR03266	YcaO-related McrA-glycine thioamidation protein
TIGR03267	methanogenesis marker 2 protein
TIGR03268	methanogenesis marker 3 protein
TIGR03269	methyl coenzyme M reductase system, component A2
TIGR03271	methanogenesis marker 5 protein
TIGR03272	methanogenesis marker 6 protein
TIGR03274	methanogenesis marker 7 protein
TIGR03277	methanogenesis marker 9 domain-containing protein
TIGR03278	methanogenesis marker radical SAM protein
TIGR03279	TIGR03279 family radical SAM protein
TIGR03281	methanogenesis marker 12 protein
TIGR03282	Ni-sirohydrochlorin a,c-diamide reductive cyclase catalytic subunit
TIGR03283	thymidylate synthase
TIGR03284	thymidylate synthase
TIGR03285	methanogenesis marker 14 protein
TIGR03286	methanogenesis marker 15 protein
TIGR03287	methanogenesis marker 16 metalloprotein
TIGR03288	CoB--CoM heterodisulfide reductase subunit B
TIGR03289	coenzyme F420 hydrogenase subunit beta
TIGR03290	CoB--CoM heterodisulfide reductase subunit C
TIGR03291	methanogenesis marker 17 protein
TIGR03292	phosphonate C-P lyase system protein PhnH
TIGR03293	phosphonate C-P lyase system protein PhnG
TIGR03294	coenzyme F420 hydrogenase subunit gamma
TIGR03295	coenzyme F420 hydrogenase subunit alpha
TIGR03296	M6 family metalloprotease domain-containing protein
TIGR03297	phosphonopyruvate decarboxylase
TIGR03298	ArgP/LysG family DNA-binding transcriptional regulator
TIGR03300	outer membrane protein assembly factor BamB
TIGR03301	2-aminoethylphosphonate aminotransferase
TIGR03302	outer membrane protein assembly factor BamD
TIGR03303	outer membrane protein assembly factor BamA
TIGR03307	phosphonate metabolism protein PhnP
TIGR03309	EF2563 family selenium-dependent molybdenum hydroxylase system protein
TIGR03310	molybdenum cofactor cytidylyltransferase
TIGR03311	selenium-dependent xanthine dehydrogenase
TIGR03312	molybdopterin-dependent oxidoreductase FAD-binding subunit
TIGR03313	molybdopterin-dependent oxidoreductase Mo/Fe-S-binding subunit
TIGR03314	putative selenium metabolism protein SsnA
TIGR03315	putative selenate reductase subunit YgfK
TIGR03316	knotted carbamoyltransferase YgeW
TIGR03318	putative selenium delivery protein YdfZ
TIGR03319	ribonuclease Y
TIGR03324	alternate F1F0 ATPase, F1 subunit alpha
TIGR03325	cis-2,3-dihydrobiphenyl-2,3-diol dehydrogenase
TIGR03326	type III ribulose-bisphosphate carboxylase
TIGR03327	AMP phosphorylase
TIGR03328	methylthioribulose 1-phosphate dehydratase
TIGR03330	adenosylmethionine decarboxylase
TIGR03331	adenosylmethionine decarboxylase
TIGR03332	2,3-diketo-5-methylthiopentyl-1-phosphate enolase
TIGR03333	2-hydroxy-3-keto-5-methylthiopentenyl-1-phosphate phosphatase
TIGR03334	indolepyruvate ferredoxin oxidoreductase subunit beta
TIGR03335	coenzyme F390 synthetase
TIGR03336	indolepyruvate ferredoxin oxidoreductase subunit alpha
TIGR03337	phosphonate utilization transcriptional regulator PhnR
TIGR03338	phosphonate utilization associated transcriptional regulator
TIGR03341	Fe/S biogenesis protein NfuA
TIGR03342	TusE/DsrC/DsvC family sulfur relay protein
TIGR03343	2-hydroxy-6-oxo-6-phenylhexa-2,4-dienoate hydrolase
TIGR03344	type VI secretion system tube protein Hcp
TIGR03345	type VI secretion system ATPase TssH
TIGR03346	ATP-dependent chaperone ClpB
TIGR03347	type VI secretion system baseplate subunit TssG
TIGR03348	type VI secretion system membrane subunit TssM
TIGR03350	type VI secretion system protein TssL
TIGR03351	phosphonatase-like hydrolase
TIGR03352	type VI secretion system lipoprotein TssJ
TIGR03353	type VI secretion system baseplate subunit TssK
TIGR03354	type VI secretion system-associated FHA domain protein TagH
TIGR03355	type VI secretion system contractile sheath large subunit
TIGR03356	beta-glucosidase
TIGR03357	type VI secretion system baseplate subunit TssE
TIGR03358	type VI secretion system contractile sheath small subunit
TIGR03359	type VI secretion system baseplate subunit TssF
TIGR03360	type VI secretion system-associated protein TagO
TIGR03361	type VI secretion system tip protein VgrG
TIGR03362	type VI secretion system protein TssA
TIGR03363	type VI secretion system protein TssA
TIGR03364	TIGR03364 family FAD-dependent oxidoreductase
TIGR03365	7-carboxy-7-deazaguanine synthase QueE
TIGR03367	6-carboxytetrahydropterin synthase QueD
TIGR03368	cellulose biosynthesis protein BcsG
TIGR03369	cellulose biosynthesis protein BcsE
TIGR03370	VPLPA-CTERM sorting domain-containing protein
TIGR03371	cellulose synthase operon protein YhjQ
TIGR03372	putrescine aminotransferase
TIGR03373	type VI secretion system-associated protein TagF
TIGR03374	aminobutyraldehyde dehydrogenase
TIGR03375	type I secretion system permease/ATPase
TIGR03376	glycerol-3-phosphate dehydrogenase (NAD(+))
TIGR03377	anaerobic glycerol-3-phosphate dehydrogenase subunit A
TIGR03378	anaerobic glycerol-3-phosphate dehydrogenase subunit B
TIGR03379	anaerobic glycerol-3-phosphate dehydrogenase subunit C
TIGR03380	agmatine deiminase
TIGR03381	N-carbamoylputrescine amidase
TIGR03383	urate oxidase
TIGR03384	transcriptional regulator BetI
TIGR03385	CoA-disulfide reductase
TIGR03388	L-ascorbate oxidase
TIGR03389	laccase
TIGR03390	L-ascorbate oxidase
TIGR03391	cysteine desulfurase sulfur acceptor subunit CsdE
TIGR03392	cysteine desulfurase CsdA
TIGR03393	indolepyruvate decarboxylase
TIGR03394	indolepyruvate/phenylpyruvate decarboxylase
TIGR03395	sphingomyelin phosphodiesterase
TIGR03396	phospholipase C, phosphocholine-specific
TIGR03397	acid phosphatase
TIGR03398	phospholipase C accessory protein PlcR
TIGR03399	RNA 3'-phosphate cyclase
TIGR03400	18S rRNA biogenesis protein RCL1
TIGR03402	cysteine desulfurase NifS
TIGR03403	cysteine desulfurase, NifS family
TIGR03406	putative Fe-S cluster assembly protein SufT
TIGR03407	urea ABC transporter substrate-binding protein
TIGR03408	urea ABC transporter permease subunit UrtC
TIGR03409	urea ABC transporter permease subunit UrtB
TIGR03410	urea ABC transporter ATP-binding subunit UrtE
TIGR03411	urea ABC transporter ATP-binding protein UrtD
TIGR03412	Fe-S assembly protein IscX
TIGR03413	hydroxyacylglutathione hydrolase
TIGR03414	choline ABC transporter substrate-binding protein
TIGR03415	choline ABC transporter ATP-binding protein
TIGR03416	choline ABC transporter permease subunit
TIGR03417	choline-sulfatase
TIGR03419	Fe-S cluster assembly scaffold protein NifU
TIGR03420	DnaA regulatory inactivator Hda
TIGR03421	iron donor protein CyaY
TIGR03422	frataxin
TIGR03423	penicillin-binding protein 2
TIGR03426	rod shape-determining protein MreD
TIGR03429	DMATS family aromatic prenyltransferase
TIGR03430	tryptophan dimethylallyltransferase
TIGR03431	phosphonate ABC transporter substrate-binding protein
TIGR03432	YjhG/YagF family D-xylonate dehydratase
TIGR03433	PadR family transcriptional regulator
TIGR03435	TIGR03435 family protein
TIGR03436	VWA domain-containing protein
TIGR03438	L-histidine N(alpha)-methyltransferase
TIGR03439	EasF family methyltransferase
TIGR03440	ergothioneine biosynthesis protein EgtB
TIGR03441	urea transporter
TIGR03442	ergothioneine biosynthesis protein EgtC
TIGR03443	L-aminoadipate-semialdehyde dehydrogenase
TIGR03444	ergothioneine biosynthesis glutamate--cysteine ligase EgtA
TIGR03445	N-acetyl-1-D-myo-inositol-2-amino-2-deoxy-alpha-D-glucopyranoside deacetylase
TIGR03446	mycothiol conjugate amidase Mca
TIGR03447	cysteine--1-D-myo-inosityl 2-amino-2-deoxy-alpha-D-glucopyranoside ligase
TIGR03448	mycothiol synthase
TIGR03449	D-inositol-3-phosphate glycosyltransferase
TIGR03450	inositol-3-phosphate synthase
TIGR03451	S-(hydroxymethyl)mycothiol dehydrogenase
TIGR03452	mycothione reductase
TIGR03453	plasmid partitioning protein RepA
TIGR03454	plasmid partitioning protein RepB
TIGR03457	sulfoacetaldehyde acetyltransferase
TIGR03458	succinate CoA transferase
TIGR03459	alpha-(1->6)-mannopyranosyltransferase A
TIGR03461	aminodeoxychorismate lyase
TIGR03462	lycopene cyclase domain-containing protein
TIGR03463	2,3-oxidosqualene cyclase
TIGR03464	squalene synthase HpnC
TIGR03465	squalene synthase HpnD
TIGR03470	adenosyl-hopene transferase HpnH
TIGR03471	hopanoid biosynthesis associated radical SAM protein HpnJ
TIGR03474	incFII family plasmid replication initiator RepA
TIGR03475	RepA leader peptide Tap
TIGR03485	type I-MYXAN CRISPR-associated Cas8a1/Cmx1
TIGR03486	CRISPR-associated protein Cas8a1/Csx13
TIGR03487	type I-PGING CRISPR-associated protein Cas8c/Csp2
TIGR03488	type I-PGING CRISPR-associated protein Cas5p
TIGR03489	type I-PGING CRISPR-associated protein Cas7/Csp1
TIGR03490	LppA family lipoprotein
TIGR03491	TM0106 family RecB-like putative nuclease
TIGR03493	cellulose biosynthesis protein BcsF
TIGR03494	salicylate synthase
TIGR03496	flagellar protein export ATPase FliI
TIGR03497	flagellar protein export ATPase FliI
TIGR03498	flagellar protein export ATPase FliI
TIGR03499	flagellar biosynthesis protein FlhF
TIGR03500	flagellar biosynthetic protein FliO
TIGR03501	GlyGly-CTERM sorting domain-containing protein
TIGR03503	TIGR03503 family protein
TIGR03506	flagellar hook-basal body complex protein
TIGR03507	OmcA/MtrC family decaheme c-type cytochrome
TIGR03508	DmsE family decaheme c-type cytochrome
TIGR03509	MtrB/PioB family decaheme-associated outer membrane protein
TIGR03510	XapX domain-containing protein
TIGR03511	gliding motility lipoprotein GldH
TIGR03512	gliding motility lipoprotein GldD
TIGR03513	gliding motility protein GldL
TIGR03514	gliding motility lipoprotein GldB
TIGR03515	gliding motility protein GldC
TIGR03516	gliding motility-associated peptidyl-prolyl isomerase GldI
TIGR03517	gliding motility protein GldM
TIGR03518	gliding motility-associated ABC transporter permease subunit GldF
TIGR03520	gliding motility-associated protein GldE
TIGR03521	gliding motility-associated ABC transporter substrate-binding protein GldG
TIGR03522	gliding motility-associated ABC transporter ATP-binding subunit GldA
TIGR03523	gliding motility protein GldN
TIGR03524	gliding motility lipoprotein GldJ
TIGR03525	gliding motility lipoprotein GldK
TIGR03526	YgeY family selenium metabolism-linked hydrolase
TIGR03527	sulfurtransferase-like selenium metabolism protein YedF
TIGR03528	diaminopropionate ammonia-lyase
TIGR03529	gliding motility lipoprotein GldK
TIGR03530	gliding motility lipoprotein GldJ
TIGR03531	O-phosphoseryl-tRNA(Sec) selenium transferase
TIGR03532	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-acetyltransferase
TIGR03533	50S ribosomal protein L3 N(5)-glutamine methyltransferase
TIGR03534	peptide chain release factor N(5)-glutamine methyltransferase
TIGR03535	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase
TIGR03536	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase
TIGR03537	succinyldiaminopimelate transaminase
TIGR03538	succinyldiaminopimelate transaminase
TIGR03539	succinyldiaminopimelate transaminase
TIGR03540	LL-diaminopimelate aminotransferase
